Permit #,City,State,ZIP,District,Date issued,Mapped Location,location,lat,lng
338,Nashville,TN,37209,24,12/4/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
305,Nashville,TN,37013,33,12/4/2015,"Nashville, TN 37013
(36.049335, -86.641832)","(36.049335, -86.641832)",36.049335,-86.641832
178,Nashville,TN,37216,7,12/4/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
171,Nashville,TN,37115,9,12/4/2015,"Nashville, TN 37115
(36.262567, -86.704171)","(36.262567, -86.704171)",36.262567,-86.704171
41,Nashville,TN,37215,25,12/4/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
290,Nashville,TN,37209,22,12/4/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
287,Nashville,TN,37215,25,12/1/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
437,Nashville,TN,37013,23,12/1/2015,"Nashville, TN 37013
(36.049335, -86.641832)","(36.049335, -86.641832)",36.049335,-86.641832
268,Nashville,TN,37214,15,12/1/2015,"Nashville, TN 37214
(36.168995, -86.667231)","(36.168995, -86.667231)",36.168995,-86.667231
21,Nashville,TN,37205,24,12/1/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
330,Nashville,TN,37206,6,12/1/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
127,Nashville,TN,37076,24,12/1/2015,"Nashville, TN 37076
(36.175185, -86.5933)","(36.175185, -86.5933)",36.175185,-86.5933
422,Nashville,TN,37206,6,12/1/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
450,Nashville,TN,37211,26,12/1/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
469,Nashville,TN,37203,6,12/1/2015,"Nashville, TN 37203
(36.150195, -86.790206)","(36.150195, -86.790206)",36.150195,-86.790206
409,Nashville,TN,37206,5,12/1/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
492,Nashville,TN,37215,24,12/1/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
491,Nashville,TN,37205,26,12/1/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
210,Nashville,TN,37205,23,12/1/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
274,Nashville,TN,37209,23,12/1/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
226,Nashville,TN,37072,3,12/1/2015,"Nashville, TN 37072
(36.350389, -86.731255)","(36.350389, -86.731255)",36.350389,-86.731255
420,Nashville,TN,37217,11,11/30/2015,"Nashville, TN 37217
(36.106646, -86.667608)","(36.106646, -86.667608)",36.106646,-86.667608
240,Nashville,TN,37204,17,11/30/2015,"Nashville, TN 37204
(36.109305, -86.776748)","(36.109305, -86.776748)",36.109305,-86.776748
271,Nashville,TN,37220,26,11/30/2015,"Nashville, TN 37220
(36.06788, -86.776955)","(36.06788, -86.776955)",36.06788,-86.776955
273,Nashville,TN,37211,4,11/30/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
153,Nashville,TN,37209,24,11/30/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
475,Nashville,TN,37205,23,11/30/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
438,Nashville,TN,37216,7,11/30/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
403,Nashville,TN,37221,22,11/30/2015,"Nashville, TN 37221
(36.064367, -86.96029)","(36.064367, -86.96029)",36.064367,-86.96029
309,Nashville,TN,37212,18,11/30/2015,"Nashville, TN 37212
(36.133256, -86.801456)","(36.133256, -86.801456)",36.133256,-86.801456
448,Nashville,TN,37216,7,11/30/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
335,Nashville,TN,37210,16,11/30/2015,"Nashville, TN 37210
(36.140869, -86.738847)","(36.140869, -86.738847)",36.140869,-86.738847
165,Nashville,TN,37214,14,11/30/2015,"Nashville, TN 37214
(36.168995, -86.667231)","(36.168995, -86.667231)",36.168995,-86.667231
482,Nashville,TN,37215,25,11/30/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
252,Nashville,TN,37209,20,11/30/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
221,Nashville,TN,37211,26,11/30/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
314,Nashville,TN,37205,23,11/25/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
473,Nashville,TN,37205,24,11/19/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
411,Nashville,TN,37216,6,11/19/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
461,Nashville,TN,37205,23,11/19/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
267,Nashville,TN,37221,35,11/19/2015,"Nashville, TN 37221
(36.064367, -86.96029)","(36.064367, -86.96029)",36.064367,-86.96029
2,Nashville,TN,37212,18,11/19/2015,"Nashville, TN 37212
(36.133256, -86.801456)","(36.133256, -86.801456)",36.133256,-86.801456
250,Nashville,TN,37211,16,11/19/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
433,Nashville,TN,37027,4,11/19/2015,"Nashville, TN 37027
(36.00245, -86.778709)","(36.00245, -86.778709)",36.00245,-86.778709
212,Nashville,TN,37212,19,11/19/2015,"Nashville, TN 37212
(36.133256, -86.801456)","(36.133256, -86.801456)",36.133256,-86.801456
268,Nashville,TN,37205,24,11/19/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
217,Nashville,TN,37218,2,11/19/2015,"Nashville, TN 37218
(36.210699, -86.866798)","(36.210699, -86.866798)",36.210699,-86.866798
199,Nashville,TN,37205,23,11/19/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
323,Nashville,TN,37115,10,11/18/2015,"Nashville, TN 37115
(36.262567, -86.704171)","(36.262567, -86.704171)",36.262567,-86.704171
281,Nashville,TN,37211,26,11/13/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
,Nashville,TN,37204,25,11/13/2015,"Nashville, TN 37204
(36.109305, -86.776748)","(36.109305, -86.776748)",36.109305,-86.776748
489,Nashville,TN,37115,9,11/12/2015,"Nashville, TN 37115
(36.262567, -86.704171)","(36.262567, -86.704171)",36.262567,-86.704171
244,Nashville,TN,37215,34,11/10/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
,Nashville,TN,37211,16,10/19/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
486,Nashville,TN,37215,20,10/14/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
485,Nashville,TN,37215,34,9/30/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
484,Nashville,TN,37013,33,9/18/2015,"Nashville, TN 37013
(36.049335, -86.641832)","(36.049335, -86.641832)",36.049335,-86.641832
483,Nashville,TN,37215,7,9/11/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
480,Nashville,TN,37206,5,9/10/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
479,Nashville,TN,37210,16,9/10/2015,"Nashville, TN 37210
(36.140869, -86.738847)","(36.140869, -86.738847)",36.140869,-86.738847
477,Nashville,TN,37205,23,9/8/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
476,Nashville,TN,37206,5,9/3/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
474,Nashville,TN,37210,16,8/21/2015,"Nashville, TN 37210
(36.140869, -86.738847)","(36.140869, -86.738847)",36.140869,-86.738847
472,Nashville,TN,37205,25,8/12/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
470,Nashville,TN,37205,23,8/11/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
471,Nashville,TN,37205,23,8/11/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
468,Nashville,TN,37206,6,7/23/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
467,Nashville,TN,37016,14,7/22/2015,"Nashville, TN 37016
(35.958042, -86.104461)","(35.958042, -86.104461)",35.958042,-86.104461
466,Nashville,TN,37207,2,7/14/2015,"Nashville, TN 37207
(36.224945, -86.775061)","(36.224945, -86.775061)",36.224945,-86.775061
465,Nashville,TN,37216,7,7/13/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
464,Nashville,TN,37216,7,7/2/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
462,Nashville,TN,37215,25,7/2/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
460,Nashville,TN,37206,7,6/30/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
459,Nashville,TN,37217,16,6/26/2015,"Nashville, TN 37217
(36.106646, -86.667608)","(36.106646, -86.667608)",36.106646,-86.667608
457,Nashville,TN,37214,14,6/25/2015,"Nashville, TN 37214
(36.168995, -86.667231)","(36.168995, -86.667231)",36.168995,-86.667231
458,Nashville,TN,37214,15,6/25/2015,"Nashville, TN 37214
(36.168995, -86.667231)","(36.168995, -86.667231)",36.168995,-86.667231
456,Nashville,TN,37207,5,6/24/2015,"Nashville, TN 37207
(36.224945, -86.775061)","(36.224945, -86.775061)",36.224945,-86.775061
455,Nashville,TN,37211,27,6/23/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
454,Nashville,TN,37215,24,6/19/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
453,Nashville,TN,37208,2,6/17/2015,"Nashville, TN 37208
(36.176427, -86.805176)","(36.176427, -86.805176)",36.176427,-86.805176
452,Nashville,TN,37013,33,6/16/2015,"Nashville, TN 37013
(36.049335, -86.641832)","(36.049335, -86.641832)",36.049335,-86.641832
451,Nashville,TN,37115,8,6/15/2015,"Nashville, TN 37115
(36.262567, -86.704171)","(36.262567, -86.704171)",36.262567,-86.704171
449,Nashville,TN,37209,24,6/12/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
446,Nashville,TN,37205,23,6/10/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
447,Nashville,TN,37218,1,6/5/2015,"Nashville, TN 37218
(36.210699, -86.866798)","(36.210699, -86.866798)",36.210699,-86.866798
97,Nashville,TN,37212,18,6/5/2015,"Nashville, TN 37212
(36.133256, -86.801456)","(36.133256, -86.801456)",36.133256,-86.801456
444,Nashville,TN,37205,23,6/3/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
443,Nashville,TN,37215,25,6/2/2015,"Nashville, TN 37215
(36.091316, -86.827959)","(36.091316, -86.827959)",36.091316,-86.827959
442,Nashville,TN,37013,29,6/1/2015,"Nashville, TN 37013
(36.049335, -86.641832)","(36.049335, -86.641832)",36.049335,-86.641832
441,Nashville,TN,37209,20,5/29/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
440,Nashville,TN,37211,26,5/29/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
439,Nashville,TN,37207,8,5/26/2015,"Nashville, TN 37207
(36.224945, -86.775061)","(36.224945, -86.775061)",36.224945,-86.775061
436,Nashville,TN,37076,7,5/20/2015,"Nashville, TN 37076
(36.175185, -86.5933)","(36.175185, -86.5933)",36.175185,-86.5933
435,Nashville,TN,37211,19,5/18/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
445,Nashville,TN,37204,25,5/15/2015,"Nashville, TN 37204
(36.109305, -86.776748)","(36.109305, -86.776748)",36.109305,-86.776748
434,Nashville,TN,37027,4,5/8/2015,"Nashville, TN 37027
(36.00245, -86.778709)","(36.00245, -86.778709)",36.00245,-86.778709
432,Nashville,TN,37216,7,5/5/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
423,Nashville,TN,37206,6,5/1/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
431,Nashville,TN,37205,23,5/1/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
430,Nashville,TN,37214,15,5/1/2015,"Nashville, TN 37214
(36.168995, -86.667231)","(36.168995, -86.667231)",36.168995,-86.667231
429,Nashville,TN,37216,7,4/29/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
427,Nashville,TN,37218,1,4/29/2015,"Nashville, TN 37218
(36.210699, -86.866798)","(36.210699, -86.866798)",36.210699,-86.866798
428,Nashville,TN,37204,17,4/29/2015,"Nashville, TN 37204
(36.109305, -86.776748)","(36.109305, -86.776748)",36.109305,-86.776748
425,Nashville,TN,37013,21,4/28/2015,"Nashville, TN 37013
(36.049335, -86.641832)","(36.049335, -86.641832)",36.049335,-86.641832
424,Nashville,TN,37204,17,4/28/2015,"Nashville, TN 37204
(36.109305, -86.776748)","(36.109305, -86.776748)",36.109305,-86.776748
426,Nashville,TN,37206,6,4/28/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
421,Nashville,TN,37211,27,4/21/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
419,Nashville,TN,37206,6,4/16/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
418,Nashville,TN,37209,29,4/16/2015,"Nashville, TN 37209
(36.149599, -86.874487)","(36.149599, -86.874487)",36.149599,-86.874487
417,Nashville,TN,37205,23,4/9/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
416,Nashville,TN,37211,26,4/8/2015,"Nashville, TN 37211
(36.069132, -86.724578)","(36.069132, -86.724578)",36.069132,-86.724578
415,Nashville,TN,37138,11,4/8/2015,"Nashville, TN 37138
(36.239455, -86.611783)","(36.239455, -86.611783)",36.239455,-86.611783
414,Nashville,TN,37212,18,4/7/2015,"Nashville, TN 37212
(36.133256, -86.801456)","(36.133256, -86.801456)",36.133256,-86.801456
31,Nashville,TN,37206,6,4/6/2015,"Nashville, TN 37206
(36.18095, -86.739624)","(36.18095, -86.739624)",36.18095,-86.739624
413,Nashville,TN,37216,8,4/6/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
412,Nashville,TN,37216,8,4/6/2015,"Nashville, TN 37216
(36.216134, -86.726204)","(36.216134, -86.726204)",36.216134,-86.726204
59,Nashville,TN,37135,31,3/24/2015,"Nashville, TN 37135
(35.946013, -86.661944)","(35.946013, -86.661944)",35.946013,-86.661944
336,Nashville,TN,37116,7,3/24/2015,"Nashville, TN 37116
(36.2561, -86.713898)","(36.2561, -86.713898)",36.2561,-86.713898
410,Nashville,TN,37218,1,3/24/2015,"Nashville, TN 37218
(36.210699, -86.866798)","(36.210699, -86.866798)",36.210699,-86.866798
308,Nashville,TN,37214,15,3/18/2015,"Nashville, TN 37214
(36.168995, -86.667231)","(36.168995, -86.667231)",36.168995,-86.667231
319,Nashville,TN,37208,21,3/18/2015,"Nashville, TN 37208
(36.176427, -86.805176)","(36.176427, -86.805176)",36.176427,-86.805176
206,Nashville,TN,37027,34,3/17/2015,"Nashville, TN 37027
(36.00245, -86.778709)","(36.00245, -86.778709)",36.00245,-86.778709
408,Nashville,TN,37115,7,3/17/2015,"Nashville, TN 37115
(36.262567, -86.704171)","(36.262567, -86.704171)",36.262567,-86.704171
407,Nashville,TN,37205,23,3/16/2015,"Nashville, TN 37205
(36.112469, -86.867263)","(36.112469, -86.867263)",36.112469,-86.867263
331,Nashville,TN,37076,12,3/12/2015,"Nashville, TN 37076
(36.175185, -86.5933)","(36.175185, -86.5933)",36.175185,-86.5933
